preference_key,movie_title,star_cast,rating,year,place,vote,link
1,La caída,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.204816888739055,2004,125,,/title/tt0363163/
2,Por unos dólares más,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.203700958376647,1965,126,,/title/tt0059578/
3,Batman inicia,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.20258981840005,2005,127,,/title/tt0372784/
4,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.198290052113546,2016,128,,/title/tt5074352/
1,El chiquillo,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.194884282149507,1921,129,,/title/tt0012349/
2,Una Eva y dos Adanes,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.191671454257035,1959,130,,/title/tt0053291/
3,El Padre,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.184322783470986,2020,131,,/title/tt10272386/
4,La malvada,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.18018853041381,1950,132,,/title/tt0042192/
1,Green Book: Una amistad sin fronteras,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.174255937187121,2018,133,,/title/tt6966692/
2,El lobo de Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.170988663340255,2013,134,,/title/tt0993846/
3,Juicio en Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.168120270679895,1961,135,,/title/tt0055031/
4,Los imperdonables,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.164927861728321,1992,136,,/title/tt0105695/
1,El laberinto del fauno,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.163765771268277,2006,137,,/title/tt0457430/
2,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.163629326672682,1995,138,,/title/tt0112641/
3,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.163487324155943,1985,139,,/title/tt0089881/
4,Petróleo sangriento,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.154459396142355,2007,140,,/title/tt0469494/
1,El sexto sentido,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.153629523081324,1999,141,,/title/tt0167404/
2,Una mente brillante,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.153317681156569,2001,142,,/title/tt0268978/
3,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.153240355258784,1975,143,,/title/tt0071853/
4,The Truman Show: Historia de una vida,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.15087563891488,1998,144,,/title/tt0120382/
1,Yojimbo,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.149138896103633,1961,145,,/title/tt0055630/
2,El tesoro de la Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.148053628912585,1948,146,,/title/tt0040897/
3,Rashomon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.143374394891442,1950,147,,/title/tt0042876/
4,El gran escape,"John Sturges (dir.), Steve McQueen, James Garner",8.14251585392467,1963,148,,/title/tt0057115/
1,La isla siniestra,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.142101737152633,2010,149,,/title/tt1130884/
2,Parque jurásico,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.13724666739665,1993,150,,/title/tt0107290/
3,Kill Bill Vol 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.137239708088275,2003,151,,/title/tt0266697/
4,Sin lugar para los débiles,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.134988045309168,2007,152,,/title/tt0477348/
1,El hombre elefante,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.131625362425934,1980,153,,/title/tt0080678/
2,Buscando a Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.13116369704941,2003,154,,/title/tt0266543/
3,El toro salvaje,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.130324743894297,1980,155,,/title/tt0081398/
4,Barrio Chino,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.129159218274495,1974,156,,/title/tt0071315/
1,Lo que el viento se llevó,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.127137226800086,1939,157,,/title/tt0031381/
2,V de Venganza,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.126453816501947,2005,158,,/title/tt0434409/
3,Intensa Mente,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.125044101857275,2015,159,,/title/tt2096673/
4,La cosa del otro mundo,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.1239181548294,1982,160,,/title/tt0084787/
1,"Juegos, trampas y dos armas humeantes","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.12389255259946,1998,161,,/title/tt0120735/
2,Con M de Muerte,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.119086590619542,1954,162,,/title/tt0046912/
3,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.118409291682692,2009,163,,/title/tt1305806/
4,El puente sobre el río Kwai,"David Lean (dir.), William Holden, Alec Guinness",8.114919638386976,1957,164,,/title/tt0050212/
1,El increíble castillo vagabundo,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.114345989858005,2004,165,,/title/tt0347149/
2,Tres anuncios por un crimen,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.111888756115956,2017,166,,/title/tt5027774/
3,La vida en el abismo,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.111746721765158,1996,167,,/title/tt0117951/
4,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.10573769689462,2008,168,,/title/tt1205489/
1,La última pelea,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.105295838198012,2011,169,,/title/tt1291584/
2,"Fargo, secuestro voluntario","Joel Coen (dir.), William H. Macy, Frances McDormand",8.103604641598228,1996,170,,/title/tt0116282/
3,Mi vecino Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.095616298812146,1988,171,,/title/tt0096283/
4,Intriga,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.094149413107699,2013,172,,/title/tt1392214/
1,Golpes del destino,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.090141855523648,2004,173,,/title/tt0405159/
2,La quimera del oro,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.087882215328333,1925,174,,/title/tt0015864/
3,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.087319662183717,1982,175,,/title/tt0083658/
4,Atrápame si puedes,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.085692406675888,2002,176,,/title/tt0264464/
1,Nido de ratas,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.085154451468362,1954,177,,/title/tt0047296/
2,El tercer hombre,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.08302591366424,1949,178,,/title/tt0041959/
3,Los niños del cielo,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.08193220385679,1997,179,,/title/tt0118849/
4,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.079004374725093,1959,180,,/title/tt0052618/
1,El general,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.07830908029794,1926,181,,/title/tt0017925/
2,12 años esclavo,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.078060076234946,2013,182,,/title/tt2024544/
3,Las fresas silvestres,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.077470357770485,1957,183,,/title/tt0050986/
4,Perdida,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.077429134405394,2014,184,,/title/tt2267998/
1,Antes del amanecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.076185431597796,1995,185,,/title/tt0112471/
2,El francotirador,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.07612783835043,1978,186,,/title/tt0077416/
3,Harry Potter y las reliquias de la muerte 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.075465397033593,2011,187,,/title/tt1201607/
4,En el nombre del padre,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.07470720319241,1993,188,,/title/tt0107207/
1,El gran hotel Budapest,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.071986953218035,2014,189,,/title/tt2278388/
2,Caballero sin espada,"Frank Capra (dir.), James Stewart, Jean Arthur",8.07158476239182,1939,190,,/title/tt0031679/
3,El salario del miedo,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.070571128113055,1953,191,,/title/tt0046268/
4,Sherlock Jr,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.06974515085118,1924,192,,/title/tt0015324/
1,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.06879034504404,1975,193,,/title/tt0072684/
2,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.068180371567795,2015,194,,/title/tt3170832/
3,Salinui chueok,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.068166171232434,2003,195,,/title/tt0353969/
4,Hasta el último hombre,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.06659509785109,2016,196,,/title/tt2119532/
1,El séptimo sello,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.066494850648597,1957,197,,/title/tt0050976/
2,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.066084922655604,2019,198,,/title/tt4729430/
3,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.064968285071842,2014,199,,/title/tt3011894/
4,Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.063215221228843,1998,200,,/title/tt0118715/
1,Cómo entrenar a tu dragón,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.06209801595422,2010,201,,/title/tt0892769/
2,Mad Max: Furia en el camino,"George Miller (dir.), Tom Hardy, Charlize Theron",8.061473154251704,2015,202,,/title/tt1392190/
3,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.06052687326582,2009,203,,/title/tt0978762/
4,"Monsters, Inc","Pete Docter (dir.), Billy Crystal, John Goodman",8.058115247419389,2001,204,,/title/tt0198781/
1,Tiburón,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.057730222488596,1975,205,,/title/tt0073195/
2,La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.055914867437423,1928,206,,/title/tt0019254/
3,Pather Panchali,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.05547049508014,1955,207,,/title/tt0048473/
4,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.053431770362016,2004,208,,/title/tt0395169/
1,Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.052316204739768,1953,209,,/title/tt0046438/
2,La sociedad de los poetas muertos,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.051841540052756,1989,210,,/title/tt0097165/
3,Pelotón,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.04766214745305,1986,211,,/title/tt0091763/
4,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.047291833046378,1976,212,,/title/tt0075148/
1,Contra lo imposible,"James Mangold (dir.), Matt Damon, Christian Bale",8.045145001710432,2019,213,,/title/tt1950186/
2,Cuenta conmigo,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.04243312550455,1986,214,,/title/tt0092005/
3,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.041365469178688,1984,215,,/title/tt0088247/
4,Rush: Pasión y gloria,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.039750647814888,2013,216,,/title/tt1979320/
1,En primera plana,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.039266031284303,2015,217,,/title/tt1895587/
2,Camino salvaje,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.038246813823935,2007,218,,/title/tt0758758/
3,Poder que mata,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.037204928560369,1976,219,,/title/tt0074958/
4,El mago de Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.036205672401346,1939,220,,/title/tt0032138/
1,Logan: Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.034988266518557,2017,221,,/title/tt3315342/
2,Hechizo del tiempo,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.032900556273004,1993,222,,/title/tt0107048/
3,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.030846460965103,2007,223,,/title/tt0382932/
4,El exorcista,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.028667356012823,1973,224,,/title/tt0070047/
1,Antes del atardecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.02808083903267,2004,225,,/title/tt0381681/
2,Lo mejor de nuestra vida,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.025816407909371,1946,226,,/title/tt0036868/
3,Los increíbles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.025251509309824,2004,227,,/title/tt0317705/
4,Ser o no ser,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.024818685957221,1942,228,,/title/tt0035446/
1,La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.022996190971572,1966,229,,/title/tt0058946/
2,"Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.022874069532051,1940,230,,/title/tt0032976/
3,Viacrucis,"John Ford (dir.), Henry Fonda, Jane Darwell",8.022311284021594,1940,231,,/title/tt0032551/
4,Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.021797364684582,2009,232,,/title/tt1028532/
1,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.021580839755151,1967,233,,/title/tt0061512/
2,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.021359466351926,2000,234,,/title/tt0245712/
3,Piratas del Caribe - La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.017367971786415,2003,235,,/title/tt0325980/
4,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.01719907509982,1975,236,,/title/tt0071411/
1,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.016433030373433,1959,237,,/title/tt0053198/
2,El pecado compartido,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.01592271814414,1966,238,,/title/tt0060827/
3,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.015824376676727,1995,239,,/title/tt0113247/
4,Babam ve Oglum,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.015755332327373,2005,240,,/title/tt0476735/
1,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.015230325254807,1979,241,,/title/tt0079470/
2,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.013917847864063,1965,242,,/title/tt0059742/
3,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.013737610947542,1934,243,,/title/tt0025316/
4,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.009024251465535,2016,244,,/title/tt4016934/
1,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.007133992951049,1982,245,,/title/tt0083987/
2,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.007082786892335,1992,246,,/title/tt0103639/
3,Historias cruzadas,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.00489357999211,2011,247,,/title/tt1454029/
4,La bella y la bestia,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",8.00353883162888,1991,248,,/title/tt0101414/
1,Danza con lobos,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8.001767190322955,1990,249,,/title/tt0099348/
2,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.000801553821892,2021,250,,/title/tt15097216/
